SWD1	RBBP5
BDF2	BRDT
NMD5	IPO7
KRR1	KRR1
ORC2	ORC2
PTK1	BRSK2
KRI1	KRI1
RSR1	RAP2B
RFC3	RFC5
KAPC	FGFR2
KOG1	RPTOR
PKH2	CDK5
PBP2	PCBP1
PHR	CRY2
BNR1	FMNL1
ARE2	SOAT1
CDC15	CDK2
CTK1	FYN
KAR3	KIFC1
KAPB	ACVR1
NOC3	NOC3L
IRA1	NF1
ESA1	KAT5
MPH1	DDX58
YP247	DCAF7
TSA2	PRDX1
VPS21	RAB5B
KAPB	CDK6
CDC25	SOS1
TEX1	THOC3
EIF3I	EIF3I
ATG1	JAK2
SAS2	KAT7
ACAC	ACACB
PGM1	PGM5
RBG2	DRG2
INP53	SYNJ1
TAF7	TAF7L
ROK1	DDX52
CDK1	CDK2
UTP15	UTP15
PMG1	PGAM1
ATG4	ATG4B
YOX1	VSX1
HUL5	UBE3C
MSH6	MSH6
NU145	NUP98
KIC1	CDK2
CDC15	CDK4
YPT1	CDC42
TOR2	TRRAP
CDC3	SEPT4
AP1G1	AP1G1
FAP1	NFX1
CBK1	EGFR
YPK2	SGK1
PCNA	PCNA
DNM1	DNM1L
AP1B1	AP1B1
SSN8	CCNC
RFC2	RFC4
HSL1	CDK5
NUG1	GNL3L
KPC1	CDK6
POLH	POLH
ATU2	ATP7B
DBP2	DDX5
UBC2	UBE2A
SUS1	ENY2
HSL1	CDK6
SLH1	ASCC3
SGD1	NOM1
TBP7	ATAD2
ACAC	ACACA
ARD1	NAA10
KPC1	CDK5
NOP9	NOP9
HSL1	NTRK2
KAPB	AKT1
DRS1	DDX27
ERV14	CNIH4
DOM34	PELO
VPS41	VPS41
SAS2	KAT8
KAPC	CDK2
THO2	THOC2
GET4	GET4
COX6	COX5A
HMS1	MITF
MED6	MED6
TOP1	TOP1
IPL1	JAK2
CDC15	AKT1
IPL1	CDK5
RSE1	SF3B3
FEN1	FEN1
RAD53	CDK2
DBF20	CDK6
ULS1	ATRX
CYPC	PPIA
SEC8	EXOC4
ARF1	ARF1
KIN28	CDK2
PKH2	EGFR
NUG1	GNL3
ARK1	FGFR3
RPF2	RPF2
GSP2	RAN
RAD53	EGFR
CDC45	CDC45
IRE1	ERN1
TAF6	TAF6
KIN28	ACVR1
